CCTV1,rtp/239.254.200.45:8008
CCTV2,rtp/239.254.200.158:6000
CCTV3,rtp/239.254.200.13:6000
CCTV3高清,rtp/239.254.201.152:7205
CCTV4,rtp/239.254.200.190:6307
CCTV5,rtp/239.254.200.14:6000
CCTV5高清,rtp/239.254.201.153:7206
CCTV5+,rtp/239.254.200.46:8004
CCTV6,rtp/239.254.200.15:6000
CCTV6高清,rtp/239.254.201.154:7207
CCTV7,rtp/239.254.200.159:6000
CCTV8,rtp/239.254.200.16:6000
CCTV8高清,rtp/239.254.201.155:7208
CCTV9,rtp/239.254.200.59:8112
CCTV10,rtp/239.254.200.160:6000
CCTV11,rtp/239.254.201.123:8120
CCTV12,rtp/239.254.200.161:6000
CCTV13,rtp/239.254.200.9:8264
CCTV14,rtp/239.254.200.162:6000
CCTV15,rtp/239.254.201.124:8136
CCTV16 4K,rtp/239.254.200.7:6346
CCTV16 4K,rtp/239.254.201.150:6345
CCTV16 4K,rtp/239.254.201.150:6345
CCTV17,rtp/239.254.201.120:8144
东南卫视,rtp/239.254.201.13:6291
东方卫视,rtp/239.254.200.52:8032
云南卫视,rtp/239.254.200.68:8108
内蒙古卫视,rtp/239.254.200.84:8176
凤凰卫视中文台,rtp/239.254.201.2:5226
凤凰卫视电影台,rtp/239.254.201.1:5214
凤凰卫视资讯台,rtp/239.254.201.3:5227
北京卫视,rtp/239.254.200.47:8024
吉林卫视,rtp/239.254.201.15:6339
四川卫视,rtp/239.254.200.202:6325
天津卫视,rtp/239.254.200.54:1234
宁夏卫视,rtp/239.254.200.87:8124
安徽卫视,rtp/239.254.200.163:6000
山东卫视,rtp/239.254.200.55:8052
山西卫视,rtp/239.254.200.83:8172
广东卫视,rtp/239.254.200.56:8048
广西卫视,rtp/239.254.200.80:8300
新疆卫视,rtp/239.254.200.89:8160
江苏卫视,rtp/239.254.200.51:8028
江西卫视,rtp/239.254.201.12:6290
河北卫视,rtp/239.254.200.174:6000
河南卫视,rtp/239.254.201.16:7174
浙江卫视,rtp/239.254.200.53:8036
海南卫视,rtp/239.254.201.125:6288
深圳卫视,rtp/239.254.200.50:8020
湖北卫视,rtp/239.254.200.164:6000
湖南卫视,rtp/239.254.200.48:8012
甘肃卫视,rtp/239.254.200.90:8188
西藏卫视,rtp/239.254.200.88:8164
贵州卫视,rtp/239.254.201.20:6315
辽宁卫视,rtp/239.254.200.57:8056
重庆卫视,rtp/239.254.200.203:6323
陕西卫视,rtp/239.254.200.82:8140
青海卫视,rtp/239.254.200.85:8184
黑龙江卫视,rtp/239.254.200.49:8016
CETV1,rtp/239.254.200.225:6259
CETV2,rtp/239.254.200.226:6260
CETV4,rtp/239.254.200.227:6261
BTV冬奥纪实,rtp/239.254.200.188:6311
CGTN,rtp/239.254.200.12:8056
SLTV,rtp/239.254.201.100:5179
kaku少儿,rtp/239.254.200.91:9248
七彩戏剧,rtp/239.254.201.180:7213
