CCTV1,udp/239.93.0.184:5140
CCTV2,udp/239.93.1.23:6000
CCTV3,udp/239.93.1.11:2223
CCTV4,udp/239.93.1.105:5140
CCTV5,udp/239.93.42.37:5140
CCTV5＋,udp/239.93.1.36:8004
CCTV6,udp/239.93.1.13:2226
CCTV7,udp/239.93.1.67:5140
CCTV8,udp/239.93.42.39:5140
CCTV9,udp/239.93.1.24:5140
CCTV10,udp/239.93.1.28:5140
CCTV11,udp/239.93.0.102:5140
CCTV12,udp/239.93.1.30:8124
CCTV13,udp/239.93.0.66:5140
CCTV15,udp/239.93.0.103:5140
CCTV17,udp/239.93.0.92:5140
CCTV少儿,udp/239.93.1.29:6000
三沙卫视,udp/239.93.42.58:5140
东南卫视,udp/239.93.0.42:5140
东方卫视,udp/239.93.0.123:5140
云南卫视,udp/239.93.0.174:5140
云南卫视,udp/239.93.1.174:5140
兵团卫视,udp/239.93.42.43:5140
内蒙古卫视,udp/239.93.0.8:5140
北京卫视,udp/239.93.0.180:5140
厦门卫视,udp/239.93.42.57:5140
吉林卫视,udp/239.93.0.248:5140
四川卫视,udp/239.93.0.169:5140
四川卫视,udp/239.93.0.20:1235
四川卫视,udp/239.93.1.188:5140
四川康巴卫视,udp/239.93.0.41:5140
天津卫视,udp/239.93.0.167:5140
宁夏卫视,udp/239.93.0.247:5140
安徽卫视,udp/239.93.1.106:5140
山东卫视,udp/239.93.0.168:5140
山东教育卫视,udp/239.93.1.196:5140
山西卫视,udp/239.93.0.6:5140
广东卫视,udp/239.93.0.181:5140
广西卫视,udp/239.93.42.46:5140
康巴卫视,udp/239.93.0.41:5140
新疆卫视,udp/239.93.0.194:5140
江苏卫视,udp/239.93.0.89:5140
江西卫视,udp/239.93.0.134:5140
河北卫视,udp/239.93.0.132:5140
河南卫视,udp/239.93.42.45:5140
浙江卫视,udp/239.93.0.124:5140
海南卫视,udp/239.93.0.80:5140
深圳卫视,udp/239.93.0.182:5140
湖北卫视,udp/239.93.0.250:5140
湖南卫视,udp/239.93.0.88:5140
甘肃卫视,udp/239.93.0.81:5140
西藏卫视,udp/239.93.0.175:5140
贵州卫视,udp/239.93.0.131:5140
辽宁卫视,udp/239.93.1.108:5140
重庆卫视,udp/239.93.1.107:5140
陕西卫视,udp/239.93.0.176:5140
青海卫视,udp/239.93.0.192:5140
黑龙江卫视,udp/239.93.0.183:5140
CDTV1,udp/239.93.0.16:5140
CETV1,udp/239.93.1.111:5140
中国体育1,udp/239.93.42.25:5140
直播室1,udp/239.93.1.180:5140
CDTV2,udp/239.93.0.17:1239
CETV2,udp/239.93.0.113:5140
SCTV2,udp/239.93.1.101:5140
中国体育2,udp/239.93.42.26:5140
直播室2,udp/239.93.1.181:5140
CDTV3,udp/239.93.0.18:1238
SCTV3,udp/239.93.1.102:5140
中国体育3,udp/239.93.42.27:5140
电信导视3,udp/239.93.0.110:5140
直播室3,udp/239.93.1.182:5140
4K乐享超清,udp/239.93.0.43:5140
4K超电影,udp/239.93.1.156:5140
CDTV4,udp/239.93.0.19:1250
CETV4,udp/239.93.0.50:5140
SCTV4,udp/239.93.0.47:5140
中录动漫4K,udp/239.93.1.188:5140
亲子趣学4K,udp/239.93.1.191:5140
津津悦读4K,udp/239.93.1.197:5140
爱上4K 17M2160,udp/239.93.1.113:5140
爱上4K 17M2160,udp/239.93.1.251:8224
爱上4K,udp/239.93.0.97:5140
直播室4,udp/239.93.1.183:5140
绚影4K,udp/239.93.42.33:5140
CDTV5,udp/239.93.1.231:5140
SCTV5,udp/239.93.0.166:5140
直播室5,udp/239.93.1.184:5140
